,rank,networth
0,1,177.0
1,2,151.0
2,3,150.0
3,4,124.0
4,5,97.0
5,6,96.0
6,7,93.0
7,8,91.5
8,9,89.0
9,10,84.5
13,14,68.7
15,16,62.8
17,18,60.2
18,19,59.5
19,20,59.0
21,22,53.0
22,23,51.9
24,25,49.9
26,27,46.4
28,29,45.4
29,30,45.1
30,31,44.1
31,32,42.3
32,33,41.8
35,36,38.2
42,43,33.7
50,51,29.1
54,55,27.0
55,56,26.9
58,59,26.2
63,64,25.5
64,65,25.0
67,68,24.6
68,69,24.4
74,75,23.0
77,78,22.0
78,79,21.9
80,81,21.6
82,83,21.4
83,84,21.3
84,85,20.9
86,87,20.4
87,88,20.3
94,95,19.0
100,100,18.3
103,104,18.0
105,105,17.9
108,109,17.6
111,112,17.2
113,114,16.9
115,116,16.7
122,121,15.9
125,126,15.7
127,128,15.5
131,132,15.3
136,137,14.8
138,138,14.7
140,140,14.6
143,144,14.4
148,148,14.1
149,150,14.0
155,156,13.5
157,158,13.3
163,164,13.0
166,166,12.9
167,168,12.8
169,169,12.7
170,171,12.6
182,182,12.1
183,184,12.0
189,189,11.6
193,194,11.3
203,203,10.9
211,210,10.6
215,216,10.4
231,232,9.8
251,251,9.3
262,262,9.0
269,269,8.8
303,304,8.2
325,323,7.7
389,384,6.8
419,418,6.4
471,472,5.9
498,496,5.6
